video_id,duration,likeCount
MVVH0OlAN8s,12.48,1316
zLfGZOrUuPU,13.37,918
mi7ScJbHxss,10.12,1719
CFdecZr5IuE,10.02,941
Fql_zy1EuqI,nan,6012
EtImhRShqUI,19.48,10563
BaxvApyXwBA,13.05,32722
jPa5uExpPkk,10.52,1114
tnBXalqf4nk,nan,1539
jog1wD8K9xM,10.03,2991
BEBfqJcsXXc,14.48,243
_FNnURGU88k,13.59,1057
n2Dd8bMuTP8,3.15,48426
yaG6tkpBDrU,10.01,753
66Ck_5SePZg,17.12,134873
WEDndTCyGgU,13.42,44474
QOQdsewdGTs,5.18,90870
RCxpqotKE2s,10.52,221369
KVyQFwx0ly0,5.42,32033
J4BLmNgTGG0,13.3,45290
_KkOxO-vWWA,12.34,3273
u1ELxTd31C4,13.3,39096
G2jYIGdmC6I,12.34,42898
tku0e-uJgA4,10.07,1634
1dpW3-iOe7g,12.28,1049
1kRcUKux2aU,7.01,66623
oS-EVLsMFz4,9.57,899
WhJa5fZUfT8,5.38,57969
oIK8UzNuCTY,13.42,29353
8-2a3al8pm0,22.05,59296
zNDPubOcXkI,10.56,8372
AbMz_5oZW9Y,5.02,919
yr4r9Sdc3Y8,13.28,3196
K0bDzCqtPIQ,10.3,90126
DezRP2sS-2Q,10.5,65538
wqK7wcgVOWw,17.16,1082
KGAj8IhnR3c,7.4,492672
ZJy1ajvMU1k,6.05,465687
JAEL40k5YtA,2.36,885
L5Sfo09enYs,17.13,6819
LUNOa3cK4rc,16.3,1315
zpetXmq3sFE,3.52,9320
HwWtG9luToI,36.16,531
rJK6-91TLik,5.05,474
b5J7JYyMk_0,6.15,12085
uOqAr0PMjuk,16,7024
ayImIgdgLEI,10.45,NA
dUgGwQsiZDE,3.02,25001
xab-2oHoN4c,21.03,32890
Wd0AYwxW2zg,13.16,17211
ZRuQE6mFvO0,10.03,1384
2ro43cwVOZI,31.5,1098
r5KidgLsaeQ,10.29,64103
kNIQYIswBlM,5.02,1151
xXPxUtWDTAA,10.47,20683
R4lwakkGNrU,6.23,1088
dY9ZWGOwr-Q,12.38,1460
cbxe1ANrfDo,20.53,19118
dbSL7vmt27Y,11.46,75179
uZYm8L5-HS4,11.41,17526
4of3b7Xb4Rs,10.5,64812
bLEAv4W3vss,10.05,4761
vpD5M0BKzoY,nan,1804
96dZXj5hUUU,10.03,355
LSpH3vwMl5U,11.44,1337
vs5XUCFrhFM,10.16,101061
bHswGRvMulc,7.57,52179
g8y4nH64--o,10.03,2519
u1OsLuCY580,10.16,54075
3G0l4vddIgE,10.14,18436
WDf0qQWh0XU,0.27,45615
kSd9w03hh9U,9.1,1067
4iRJDDjejCI,30.33,247046
9Y1XazyDiwc,4.37,24093
af3dEbAd4Os,12.45,83192
aLZGO7Tcjck,16.02,62064
KJg4AS4uVWk,10.03,14050
gpvbeZvOzBw,10.28,46701
os0F7jBWJfQ,12.59,47760
9XVWG0kYycw,10.15,24090
_4Gu9aIeQFA,28.53,2411
D9F2rDyMIm8,10.03,1249
jYjXj-PAi5s,15.3,37481
pUTjjzxfGN0,10.17,2837
MQLqrtaevCM,14.51,1139
ITn8B5LGopM,9.32,34655
zioTEH65Vxg,10.03,3793
xIeagpcfpms,13.4,71880
xyS0JGnbTf0,12.31,17044
VMcmWCjzsj4,10.08,192820
RKoT0VANcZQ,23.01,5774
FR0r-b6MBBY,17.39,7793
BnyT5viG7h0,6.21,10800
54HWDJABEgk,19.47,2035
lyD9t3uhHio,6.32,63055
CDLYu2K1mVw,16.25,847
666Mkq-GJBI,10.23,10745
rfbAn05tRDs,24.01,63709
GWqBWsruvOo,2.59,879
YIjWwZwlHQg,8.19,64247
pKN_XoUBsXc,17.44,38916
EoKC1-2LsUk,10.03,31700
Ac6sCvgnWR8,12.28,130831
civ5adZdOGI,6.56,2017
X5oD_thIk3c,10.56,398377
ZTU78dBp1No,10.25,23359
lQ5z6cxxYl4,10.08,74025
f7PdXLclVAQ,10.02,5387
Oqt-EVXF408,3.45,93305
R52rpXOMwvw,5.55,5454
5-24zRezgB4,17.48,440
LlrXlzlgSEw,3.4,33350
Jvb0ksw33DM,12.01,29429
kFthJgdiHrw,7.26,5247
Yq-OPFIYOAk,10.18,84392
R4wo3Rgqti8,6.54,20496
wcGH5tnpeto,10.03,68561
WYKCzN465jY,22.07,86468
wIqvaiZQ-3Y,6.2,1291
lPQvkc-g3Ak,10.02,28538
-R3FmmjPWAs,5.09,501340
jIxaGhPDNTw,13.06,18767
ZT3GlECfYoU,10.04,84036
xU2kCJ8827Y,10.04,5488
ad3kl4-oIkw,nan,79099
emnv7VxGriY,4.1,9695
k6MgyY87WKQ,10.04,7320
woiu4OPJwAY,39.46,101593
w6r8eFhnjGY,12.02,6385
6SKReWv_0YU,23.26,328081
NIUc2FAbMdU,22.26,124892
ENF3PYItZMo,11.54,1196
h9F4VN2LiO8,44.13,9988
29lnu-l6ukg,34.26,10284
uSWtEUmmh98,37.57,436
tBxTXxPj9YU,22.32,207640
L696FZMmZ9w,12.08,11505
XwqO3-gggqU,6.06,36023
23aU_ZaAinE,10.02,4577
VO-9th0pIVc,11.49,592
Nk4AA9DRXjY,7.2,20503
76V3FZX-REs,14.4,45875
ir5U88d_3iI,11.31,212710
WgLZ1mTV958,13.31,31547
jC9yjnMhYm0,13.21,3004
yc8CcIpo7As,11.11,55178
CXypMR5JNPQ,8.45,133663
6p5x0nxtqVs,nan,358139
AJ3knbm1miU,10.3,9966
Mg4K8lovFPM,16.56,1338
jrBHd1Y4hT8,10.2,26393
4aWRlzJFeBE,11.28,26650
FL4vTp9YAbU,10.07,4645
Vufstp_39zY,27.11,12921
qWAagS_MANg,13.09,471160
G6RdmyLAuJg,30.45,1042421
vOr42oIjruk,23.25,14322
4ItN-eaPx1Y,23.15,24056
Jpd_CUX2o98,10.5,100958
D7Il2mP_Qdo,10.02,65061
HxmnsevPZJ4,18.59,1691
cLStVE2DMjQ,25.5,333
B5rsbbrD2zY,21.24,2021
qmUPJhL55bI,18.25,9497
coaac5GoBUQ,10.08,42532
ZPBMa8lsG2c,21.04,684
gGD1K-hrcls,16.08,10725
If2rE7Sagyw,12.22,290444
bffOdZoZwqs,17.29,46088
M-2GkXygMQE,10.02,10257
niUtBxOagGo,9.56,27085
8CsN9n62J8I,6.45,14610
cUmxHi3aooY,19.45,27318
iqIA5lyFLzg,13.29,4279
a4C2sB3U31o,16.01,14123
2eINllOc0hc,14.17,157183
oBtZ44Az-iE,11.39,548066
UaoSTg-sXnY,13.22,1361
v6wBrOFx5aA,13.58,28058
yT3rhPvtayY,5,9290
mE1Uaqb5wgY,11.34,36979
u2qoxI66r0k,9.15,30346
DEJrEV7yr4o,12.42,2842
DYdOPjjBvm0,3.12,92881
2nun7CXAs4I,7.43,211326
ClUXWcQTN3E,5.02,13974
-dUjN6AVjj8,20.35,62218
GF_bsZMe7zg,22.57,64266
qFitQn0W-Ns,13.19,14727
peAUzXwmvGs,10.04,9556
gLhIQkOvL7g,6.12,48317
Uw78ZObZYC0,21.58,154756
Qa-2M9PFyfU,14.07,20910
ZYgxNC7QeD4,14.06,322210
6pL_5zCHiT0,10.04,27243
jUj1kzWZ8_s,9.19,5683
Y06m3HGHCME,10.03,30761
aV_CyvbGUwc,nan,117855
aWeFw9LqGrE,10.06,6412
2tVOsKQGQ7k,10.06,45696
2tVOsKQGQ7k,10.06,45696
2tVOsKQGQ7k,10.06,45696
2tVOsKQGQ7k,5.09,45696
4jb5O7RITL4,16.3,46066
voztwgixwtg,10.06,60553
8V-R4f1QXds,20.31,548
qKyk_2xIW1E,23.58,37205
qsA2wD04VSo,6.01,74290
vphPi_kvE6o,10.23,85588
0YR6s-x2KZk,10.19,60011
Ybq7jt3tJcc,20.1,48833
yVDmHcMKDbk,8.52,65382
qf99IlFZY2o,11.46,41260
8snZfekKvig,38.12,81022
KV-iRBrGQAc,12.04,6936
Cf_YfZPc5Qo,9.51,10254
e2c8u3L3Nco,25.25,75846
AbxbOd_mtn8,7.2,54057
HSVI5oqtlAo,nan,8967
ELZapVcPF5E,14.29,232819
pF1uc9V2yD0,19.51,84630
Nl6jQTEphh8,19.41,3598
u2voTz16Rng,10.56,12030
dTecJGL62uM,29.56,244409
BCf5gsl3C08,6.22,51523
EA4SOT4OKNA,2.31,2155
AmC9SmCBUj4,14.53,125081
VLt92s0YaP8,7.56,2007
qjgJoAPFoWo,5.1,3569
YhW7nSvLJ9Y,15.08,70366
FHQVFmBIM1M,14.37,7030
eaBHTH2nbWc,11.26,116088
uc1kcQXlRcc,54.53,10442
dUoqdmCfZ5s,11.16,6199
SSKUcx5dnsw,4.17,7853
ywZevdHW5bQ,5.02,84377
I27oRkaP_V4,11.47,374811
Tf9BYoijUcA,14.38,74226
zjoYb0m65Xs,4.31,41883
24DvfhEiKKY,11.2,10378
_pBAo_erTSM,14.41,65619
ifyQoFQv3rI,20.02,10878
t_pleaws7zY,45.37,69792
dJB0-COLQTA,12.2,396889
wDooaT6qKKo,nan,42542
P63L1_gINd0,11.19,27759
-C8LEPmSTnQ,1.53,463284
dL0sCONeu54,12.34,13150
D9NCqkLnaL8,13.01,22246
hfJmHZ_7VN8,10.09,6879
Lhn32f7ymcA,10.09,103813
bmugI3y2dk4,7.46,50912
UXpouL9Q1iY,10.08,124590
zrR0ZIR4wPM,3.54,33443
LzwGHt2nc20,10.54,21943
qcr1rMVCj-I,8,90628
f30O4ZB66GM,14.24,30017
oPyHVU0SoD8,10.05,12977
V1IFAPl28pE,11.43,12487
kIvHQcdbT8o,10.37,33062
ET3iTDycTcg,10.1,184006
yaaE0Lslle8,7.1,61457
79vZrthC_og,9.2,433514
JqXUqG8GGAI,10.08,27178
W6ZjNI03hG0,26.01,124479
yte2pJQgKpc,6.13,59819
NUKVMwfjtqs,15.31,7038
j2D65hbOmI0,10.28,444509
Wa9J4i_xirs,10.34,95657
Iu6HwGfdSk0,6.33,2295
Ran55MRteTQ,10.1,1413001
RPz2JW5OQk4,5.55,204100
nsz70h229-s,21.48,142953
njwru4FzxAI,11.57,52598
wylK3rdPDVc,9.08,2553
1Gdl-A1DvpA,12.59,242138
j2udLb9KGus,8.37,138490
Vuy2nrJz0Zw,6.44,121846
8Jo7SyZ7C44,10.27,315
hOwB86wJTQk,22.53,151868
auhwYou0I_c,5.52,12555
gauyUvRIPzs,10.42,210513
IFXzGfnyrDs,29.09,4363
EJjmbtlc6R8,12.14,136012
UwlwuEW4qW8,13.06,566
EbqWw0HEQcE,3.25,48108
da7iGPigiz4,11.23,465088
MN3G7XLX8Og,26.33,3735
1HAHGhhf6k8,25.57,2292
sGLz-oHUwsE,5.56,8127
7J5gnDhRtjM,2.43,103407
AR9GJyfQNPI,4.37,1382
P_IpPCBeXIo,3.02,305984
MLZ5C8NyYMA,3.02,27786
Py_Dr4_bvEA,12.24,122791
dqZseoM8ktk,21.05,76145
jeAKaGyDm7g,2.37,38097
Z4D3LdTCLEQ,12.45,91
YiIqnLVxlQ8,5.49,3815
3NNrbmh05DI,10.48,184249
yT7ZLyH4g4A,14.12,9227
jVZDv3fLAMY,10.48,43882
174q6NV_G6E,14.12,5394
bqE0ZVrC38c,11.21,87140
XxsgrrZumEk,19.51,45345
j53d_Uh6ZRc,13.49,83529
RqJ0dBUQfXo,2.36,59500
8wMVOwtpONc,13.25,9205
bq223RKlraY,17.56,24845
EFh6bJIHl2Y,11.06,57106
jaN3qsqXt38,2.15,21939
D3mCtIhR3F4,11.08,249
iGsezkRzTfo,6.16,17330
gjV-K4g3fm4,23.15,209572
ZB5559o0sCM,30.14,9790
A2VAN7PtQW0,10.22,55283
UevqLQ9-qiA,31.53,42837
VqPU8ueRI7Y,11.55,60206
3j_kojR1G9s,6.13,187921
m0cxQ7UWryg,7.13,125083
WK01gDq8d6A,4.28,218091
wq-3lv7khUY,11.57,73355
yVHxaPGXi5s,14.13,56510
R-DDwSMUeuM,9.36,7846
flX5Jzoqtvc,9.17,37817
wmrpzoE9oE4,23.14,93
ZwbEhmbk8cI,12.02,22903
bKntHEI5-Dk,11.59,231
q_OrLFOomSI,24.1,9
HMJXsQL1xdQ,11.04,256963
kPQ0aNFI9nU,3.01,240
-W37TDK6dBM,3.52,183811
fbatqm3-5nU,9.11,78491
m3MgAOe2zSs,4.42,219635
DAIiZtge9Xc,12.49,319
XWKwJqIFYIw,11.13,26092
9w16iOhFVw8,10.07,131421
4ImxgveTCcE,29.38,17342
_ExbrQ03Wok,23.4,22796
EGaf6yMtBF0,20.1,20735
KTOQD4bfKLM,5.14,124269
V1qL0FGGLqM,23.42,118637
vSBSzWmjXO0,5.55,311304
KLGSLCaksdY,3.17,194465
dQwpgE73oNc,7.48,155394
h7OST4P7XuY,13.45,124
y_OwbRBNwvE,1.31,1359
t0VdkQ9H5vo,33.09,74
hc3TEaT3WHA,0.31,118621
oVPh8-6yKEU,32.16,85
lQTPHkYtiUk,0.31,17037
kYGNRlMv36k,1.29,32
mhtC2tqdhwU,22.53,5363
okYngw88z54,0.16,317198
HV7e-gGGkqg,11.27,2
tFGh_mBY7c0,6.08,43753
dx8rs8Y9SR8,1.39,62197
pffcc4viRLk,10.56,264
m6GFCVqbpy4,0.16,23714
LynEyDLCGbQ,11.06,4758
gQnAsBovYck,12.28,7
j-059w3KfOI,8.09,41
e8J3UWGdp2Q,3.32,734
kJ5PCbtiCpk,2.11,454505
MpTodVRR73E,14.17,260796
DG4rNwE5lbk,16.23,57
6HbcWiLCMY8,3.51,396
ynbD4UJdd9g,16.52,4033
4exaXdPKS3Y,4.18,36578
FM5C3df1cUw,6.06,53520
Rg8d2pl5HN8,12.08,211119
rujrF4XLPIA,2.08,117744
P78zjfAMFrc,0.34,14048
Y_fXmZt1j4k,15.37,118799
YQj-cEn3xZQ,16.27,71
IbiXc5cUVus,13.03,311577
Sq021CY8_Mg,3.26,76850
QlaoffOPp1I,9.02,5948
hu6-BLqYtVM,8.55,27
2YslTBxocYQ,0.31,167
bYwicrZw2xc,8.55,16230
kHqPrDyx6Gc,25.02,1084
IsMonxeCQqE,8.14,55526
TRMmqZ-aCws,10.43,62
V2LXrlFMH-g,30.3,32853
yvBV0pHJfIY,33.27,57788
pYwYv24X2Vw,15.13,30570
m9HIaHLpr5o,19.42,25479
dbFGVl9Bomg,19.27,11788
qr4AaWAkf34,3.24,411755
Z6CdNwGpet8,17.46,72116
c30s6OnCApw,0.29,276748
EQbg5slWMTs,7.2,117
YHoKzaZj_zA,2.32,293
MVKIlcA0zso,3.4,3167
noHAYjTjJKw,0.16,NA
n9gusH0_r6o,3.22,26
_0BEgP9dW2M,2.33,34
2c18PX9acwU,22.52,601667
Q9y3VRWYtGE,6.55,23227
poe7_g4M1p4,0.21,353
oc--nnT7iNQ,22.08,114
KoTUrYdP1Pw,12.24,2125
sW-3ewYQSPA,nan,30276
OreTHMH4z6s,2.16,4106
nxYT74lrvps,33.05,2512
NQcwgZbgLj4,19.54,206396
bb6jN8btf8U,13.52,31606
FAI-k565prY,5.18,288
95r1gyjT1sU,4.17,238621
cRzW52kjKJ0,13.44,148
e9Uu3ujJo-o,16.01,187
SbxYOlgJhAM,21.44,174423
79lpSvgChLg,10.08,32764
tJLZ9TZxq_M,10.17,472
CwLoXTs_oKY,13.44,362
UNHtj7QtCdk,10.43,15225
_axbVRKhPgo,20.38,2690
XgCyAG-A0GA,4.01,423666
8-12HY-j_IE,0.19,53
H78_qMqbZw0,47.42,2
7xMJB3dKQzg,11.38,1220
TuSX5y79h-k,34.28,56
6yH5JbzaNrw,10.27,51718
uw1tuzWm9GE,0.31,59366
NgLCn9WneGY,14.36,138
47FCm_n6SK0,2.2,37115
2gSfQ2_Atqs,33.06,13
lrbZOeX4isM,9.54,3418
rdpFbFsxgOs,11.53,193
J1SOfPwMDhQ,0.39,254
asSxSQxZMu0,25.5,267
xzaNqjc4fkE,6.29,60146
7qQNLdfyUX4,33.13,1095
cT18Mrh5Gos,14.43,14957
Xvly_xY3nVw,0.31,2502
yEISuV51jtk,2.42,3
kzRqTIhA3AI,14.53,24876
jymiJAkYKts,1.59,4715
epMAq5WYJk4,11.32,4415
aldO3cHhNLQ,10.57,20242
Bz1oyrWVTwI,2.16,6940
OYiQOr7GFb0,24.08,81
NuBaoxW4Olc,10.52,45369
n10uyii_O6o,1.11,283
WvLqdOkdRbk,12.11,31
7kZRHxlvvUc,15.56,445
gL-snXsliDA,3.01,2454
M-aPgkvsmo8,1.57,4
fZ38BLzcrX8,24.51,69
PKz70B4O4ig,14.27,25454
pmLCSnX6Mh0,20.1,55303
0dcRFFgpPuM,17.2,1842
Gehr1AgEF20,11.46,16419
O5jeFXIyvOk,2.29,44883
1QWLyi03twg,14.56,4684
0n9ITSKRAMA,2.1,25914
vG3q82tse08,3.21,3098
1uZn6kL9Z6k,9.57,2881
4zN6mEQ8m9A,24.27,12666
eYYM2yVQUAc,14.5,5276
ZIkWkEqIHBg,2.2,50540
it1CG6rKB5o,12.03,928
VyXTm75-vrw,13.2,19952
Wwy4nS0bF9E,10.33,36393
2yXNrLTddME,10.27,24853
FI2rCvQFWcc,31.4,12249
PKRwlFFc49I,13.51,32709
9Q1-CBB3hrE,10.34,5376
rsDU-QsfkX4,14.23,1340
6VtdcqNX9JY,15.25,25015
jZHl2st110k,12.42,19559
l04-h1feTDU,nan,279118
